$BS_\Delta$,q,k,domain,$\mathrm{FI_{bc}}$, $\mathrm{FBI_{SMT}}$
$f_$  ,1.0,5,aladdin-story,1, 3
$f_$  ,1.0,5,get-ark,0, 0
$f_$  ,1.0,5,problem-basketball,1, 5
$f_$  ,1.0,5,robbery,1, 0
$f_$  ,1.0,5,tot-v1,4, 5
$f_$  ,1.0,5,tot-v2,3, 3
$f_$  ,1.0,5,tot-v3,0, 0
$f_$  ,1.0,5,tot-v4,0, 0
$f_$  ,1.0,10,aladdin-story,1, 3
$f_$  ,1.0,10,get-ark,0, 0
$f_$  ,1.0,10,problem-basketball,1, 10
$f_$  ,1.0,10,robbery,1, 0
$f_$  ,1.0,10,tot-v1,8, 9
$f_$  ,1.0,10,tot-v2,0, 0
$f_$  ,1.0,10,tot-v3,0, 0
$f_$  ,1.0,10,tot-v4,0, 0
$f_$  ,2.0,5,aladdin-story,1, 5
$f_$  ,2.0,5,get-ark,3, 5
$f_$  ,2.0,5,problem-basketball,1, 5
$f_$  ,2.0,5,robbery,1, 5
$f_$  ,2.0,5,tot-v1,4, 5
$f_$  ,2.0,5,tot-v2,3, 5
$f_$  ,2.0,5,tot-v3,4, 5
$f_$  ,2.0,5,tot-v4,2, 5
$f_$  ,2.0,10,aladdin-story,1, 10
$f_$  ,2.0,10,get-ark,3, 10
$f_$  ,2.0,10,problem-basketball,1, 10
$f_$  ,2.0,10,robbery,1, 0
$f_$  ,2.0,10,tot-v1,8, 10
$f_$  ,2.0,10,tot-v2,3, 10
$f_$  ,2.0,10,tot-v3,4, 10
$f_$  ,2.0,10,tot-v4,2, 10
